Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
La_Parguera_67W_18N,17.954,-67.051,01/19/2017,21:17:00,400.4,2,8.18,400.9,2,6.28,1013.6,28.7,97.48,27.07,35.35,403.7,403.5,388.7,388.4,0.3,389.9,389.6,0.3,-999,5,-999,5,2.098,2,207.3,2
La_Parguera_67W_18N,17.954,-67.051,01/19/2017,21:47:00,401.6,2,6.83,404,2,4.79,1013.7,29.4,98.1,27.032,35.345,404.4,405.9,389.4,390.8,-1.4,390.6,392,-1.4,-999,5,-999,5,2.092,2,205.1,2
La_Parguera_67W_18N,17.954,-67.051,01/19/2017,22:17:00,398.4,2,6.57,404.2,2,4.46,1014,29.8,98.67,27.023,35.339,401,406,386.2,391,-4.8,387.4,392.2,-4.8,-999,5,-999,5,2.098,2,207.4,2
La_Parguera_67W_18N,17.954,-67.051,01/19/2017,22:47:00,398,2,6.38,404.3,2,4.81,1014.1,30,99.06,27.015,35.339,400.5,406.3,385.8,391.4,-5.5,387,392.6,-5.5,-999,5,-999,5,2.117,2,207.3,2
La_Parguera_67W_18N,17.954,-67.051,01/19/2017,23:17:00,397.5,2,6.31,404.4,2,4.65,1014.3,30.1,99.3,27.001,35.335,400,406.2,385.4,391.4,-6,386.6,392.6,-6,-999,5,-999,5,2.117,2,207,2
La_Parguera_67W_18N,17.954,-67.051,01/19/2017,23:47:00,397.1,2,6.41,404.3,2,4.8,1014.5,30.1,99.29,26.974,35.332,399.7,406.2,385.2,391.5,-6.3,386.4,392.7,-6.3,-999,5,-999,5,2.147,2,206.8,2
La_Parguera_67W_18N,17.954,-67.051,01/20/2017,00:17:00,398.3,2,6.42,404.5,2,4.85,1014.8,30.1,99.38,26.948,35.33,400.9,406.4,386.5,391.9,-5.4,387.7,393.1,-5.4,-999,5,-999,5,2.117,2,206.2,2
La_Parguera_67W_18N,17.954,-67.051,01/20/2017,00:47:00,399.3,2,6.33,409.5,2,5.1,1015.1,30.1,99.32,26.93,35.329,401.9,411.6,387.6,396.9,-9.3,388.8,398.2,-9.3,-999,5,-999,5,2.111,2,205.5,2
La_Parguera_67W_18N,17.954,-67.051,01/20/2017,03:17:00,399.6,2,7.04,415.1,2,6.22,1015.7,28.2,99.08,26.865,35.338,402.4,417.7,388.4,403.2,-14.8,389.6,404.5,-14.8,-999,5,0.192,2,2.12,2,200.8,2
La_Parguera_67W_18N,17.954,-67.051,01/20/2017,06:17:00,406.7,2,6.94,410.7,2,6.28,1014.6,26.7,98.61,26.8,35.345,409.5,413.3,394.9,398.5,-3.6,396.1,399.8,-3.7,-999,5,0.192,2,2.141,2,196.7,2
La_Parguera_67W_18N,17.954,-67.051,01/20/2017,09:17:00,404,2,6.66,413.8,2,6.15,1014,25.7,98.53,26.752,35.369,406.7,416.4,392,401.3,-9.3,393.2,402.6,-9.4,-999,5,-999,5,2.199,2,198.3,2
La_Parguera_67W_18N,17.954,-67.051,01/20/2017,12:17:00,404.6,2,7.56,412.7,2,6.65,1015.3,25.2,98.34,26.733,35.373,407.7,415.5,393.4,401,-7.5,394.7,402.2,-7.6,-999,5,-999,5,2.211,2,199.5,2
