Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
LA_PARGUERA_67W_18N,17.954,-67.053,03/02/2018,21:17,386.6,2,6.32,409.1,2,5.12,1013.8,29.1,100.3,26.878,35.332,389,411.2,374.7,396.1,-21.3,375.9,397.3,-21.4,8.067,2,-999,5,1.338,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,00:17,401.3,2,5.67,411.7,2,4.7,1014.6,28.8,99.55,26.826,35.358,403.6,413.6,389.1,398.8,-9.7,390.3,400.1,-9.8,8.051,2,-999,5,1.409,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,03:17,391.8,2,5.44,420.5,2,4.77,1014.5,27.8,99.73,26.869,35.387,393.9,422.5,379.7,407.3,-27.6,380.9,408.6,-27.7,8.065,2,0.129,2,1.447,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,06:17,389.1,2,5.29,427.8,2,4.68,1012.7,27,99.88,26.828,35.395,391.2,429.8,376.4,413.6,-37.2,377.6,414.9,-37.3,8.062,2,0.149,2,1.41,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,09:17,402.5,2,5.11,418,2,4.6,1012,26.3,99.12,26.674,35.385,404.6,419.9,389.1,403.9,-14.8,390.4,405.2,-14.8,8.055,2,-999,5,1.408,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,12:17,412.7,2,5.6,415.2,2,5,1013.4,25.9,98.36,26.678,35.402,415,417.3,399.8,402,-2.2,401,403.2,-2.2,8.049,2,-999,5,1.398,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,15:17,405.7,2,6.83,410.7,2,6.39,1013.3,27.1,98.86,26.871,35.408,408.4,413.4,393.3,398,-4.7,394.5,399.2,-4.8,8.049,2,-999,5,1.373,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,18:17,399.9,2,6.58,409.1,2,5.39,1010.7,29.2,99.52,27.369,35.44,402.5,411.3,386.1,394.6,-8.4,387.3,395.8,-8.5,8.053,2,-999,5,1.465,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/03/2018,21:17,375.8,2,6.57,409.2,2,5.36,1009.9,29.6,101.06,27.206,35.471,378.3,411.4,362.7,394.5,-31.8,363.8,395.7,-31.9,8.074,2,-999,5,1.356,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,00:17,401.7,2,5.69,418.7,2,4.93,1010.7,28.9,100.48,26.92,35.445,404,420.8,387.9,404,-16.1,389.1,405.3,-16.2,8.054,2,-999,5,1.464,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,03:17,415.9,2,5.59,421.2,2,4.98,1010.6,27.8,99.3,26.929,35.486,418.2,423.3,401.5,406.4,-4.9,402.7,407.6,-4.9,8.041,2,0.205,2,1.469,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,06:17,421.3,2,5.66,417.2,2,5.07,1009.2,27.1,98.23,26.834,35.493,423.6,419.3,406.2,402.1,4.1,407.5,403.3,4.1,8.036,2,0.205,2,1.459,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,09:17,412,2,5.68,418,2,5.19,1008.5,26.8,97.94,26.771,35.481,414.4,420.1,397.1,402.6,-5.5,398.3,403.9,-5.5,8.046,2,-999,5,1.435,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,12:17,422.3,2,5.87,413,2,5.14,1009.9,26.7,97.21,26.781,35.502,424.8,415.2,407.7,398.4,9.3,408.9,399.7,9.3,8.038,2,-999,5,1.511,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,15:17,410.5,2,6.12,409.8,2,5.06,1010.3,26.8,97.43,26.738,35.51,413,411.9,396.5,395.5,1,397.8,396.7,1,8.044,2,-999,5,1.483,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,18:17,371.9,2,6.17,410.1,2,5.05,1009.3,27.4,99.4,26.775,35.54,374.3,412.1,358.9,395.3,-36.3,360,396.5,-36.5,8.078,2,-999,5,1.557,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/04/2018,21:17,390.5,2,5.88,411.1,2,4.8,1009.2,27.4,99.89,26.694,35.572,392.8,413,376.7,396.1,-19.4,377.9,397.4,-19.5,8.062,2,-999,5,1.522,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.053,03/05/2018,00:17,390.8,2,5.71,414.2,2,4.68,1010,27.2,100.02,26.698,35.576,393.1,416.1,377.3,399.4,-22.1,378.5,400.7,-22.2,8.062,2,-999,5,1.537,2,-999,5
