Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,11:47:00,488.5,2,8.43,414.5,2,8.12,1013.2,26.1,96.41,-999,-999,492.7,417.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,12:17:00,481.4,2,3.99,432.3,2,3.61,1013.3,27.7,96.41,-999,-999,483.3,433.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,12:47:00,480.8,2,3.89,416.4,2,3.48,1013.4,28.9,96.65,-999,-999,482.7,417.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,13:17:00,476.6,2,3.56,407.7,2,3.12,1013.3,29.9,97.15,-999,-999,478.3,409,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,13:47:00,474.6,2,4.08,406.9,2,3.17,1013.5,30.5,97.47,-999,-999,476.5,408.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,14:17:00,478.1,2,4.1,407.3,2,3.64,1013.5,31,97.63,-999,-999,480.1,408.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,14:47:00,476.1,2,5.01,407.8,2,4.1,1013.3,31.4,97.8,-999,-999,478.5,409.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,15:17:00,470.5,2,5.04,407.5,2,4.12,1013.3,31.7,98.32,-999,-999,472.9,409.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,18:17:00,469.2,2,7.71,403.5,2,6.85,1012,31,98.59,-999,-999,472.8,406.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
LA_PARGUERA_67W_18N,17.95,-67.05,09/06/2019,21:17:00,473.1,2,8.33,403.2,2,7.49,1011.6,30.5,98.48,-999,-999,477,406.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
