Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
LA_PARGUERA_67W_18N,17.954,-67.052,09/11/2020,17:17,506.8,2,9.26,406.2,2,7.95,1011.1,30.6,96.84,30.491,34.776,511.6,409.4,487.4,390.1,97.3,488.9,391.3,97.6,-999,5,-999,5,0.566,2,-999,5
LA_PARGUERA_67W_18N,17.954,-67.052,09/11/2020,17:47,510.9,2,6.78,407.4,2,5.32,1010.8,31.4,97.27,30.628,34.786,514.4,409.6,489.8,390,99.8,491.3,391.2,100.1,-999,5,-999,5,0.523,2,180.5,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/11/2020,18:17,504.5,2,6.6,406.9,2,5.09,1010.5,31.9,97.59,30.603,34.772,507.8,409,483.4,389.3,94.1,484.9,390.5,94.4,-999,5,-999,5,0.437,2,181.1,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/11/2020,21:17,490.7,2,7.63,406.6,2,7.28,1009.8,32.2,98.32,30.659,34.767,494.5,409.6,470.3,389.6,80.7,471.7,390.7,81,-999,5,-999,5,0.462,2,185.8,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,00:17,551.5,2,7.44,411,2,7.08,1010,30.6,96.07,30.245,34.722,555.6,413.9,529.1,394.2,134.9,530.7,395.4,135.3,-999,5,-999,5,0.483,2,155.6,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,03:17,491.4,2,7.31,419.7,2,7,1010.5,29.4,96.87,30.069,34.758,495,422.7,471.8,402.9,68.9,473.3,404.1,69.2,-999,5,0.217,2,0.409,2,180.7,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,06:17,487.9,2,7.23,418,2,6.88,1009.7,28.8,97.54,30.181,34.759,491.5,420.9,467.9,400.8,67.2,469.4,402,67.4,-999,5,0.202,2,0.413,2,183.1,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,09:17,487.8,2,7.22,424.3,2,6.79,1009.5,28.5,97.6,30.052,34.752,491.3,427.2,467.9,406.8,61.1,469.3,408,61.3,-999,5,-999,5,0.331,2,180.1,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,12:17,500.3,2,8.27,428.1,2,7.97,1011.2,28.6,97.19,30.04,34.753,504.5,431.6,481.2,411.7,69.5,482.7,412.9,69.7,-999,5,-999,5,0.603,2,173.7,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,15:17,497.2,2,9.51,406.2,2,8.98,1010.8,30.3,97.21,30.247,34.758,502,409.9,478.4,390.7,87.7,479.8,391.8,88,-999,5,-999,5,0.527,2,178.4,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,18:17,483.6,2,9.63,405.2,2,8.28,1009.8,31.6,98,30.44,34.761,488.3,408.6,464.7,388.9,75.8,466.1,390,76.1,-999,5,-999,5,0.375,2,187,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/12/2020,21:17,475.7,2,9.26,405.4,2,7.84,1009.1,32.4,98.82,30.521,34.761,480.2,408.6,456.6,388.5,68.1,457.9,389.7,68.3,-999,5,-999,5,0.409,2,188.9,2
LA_PARGUERA_67W_18N,17.954,-67.052,09/13/2020,00:17,478.9,2,7.82,409,2,6.97,1010.3,31.5,98.72,30.435,34.777,482.7,411.9,459.6,392.2,67.4,461,393.3,67.6,-999,5,-999,5,0.477,2,184.6,2
